barrio,ambientes,metro_cuadrado,precio
Abasto,3,75,185000
Abasto,4,79,259000
Abasto,2,44,115000
Abasto,3,45,107000
Abasto,2,,100000
Abasto,3,,117000
Abasto,3,56,164600
Abasto,3,51,137000
Abasto,3,67,259000
Abasto,6,116,208000
Abasto,4,107,270000
Abasto,3,75,168000
Abasto,1,25,100000
Abasto,3,67,259000
Abasto,4,73,210000
Abasto,4,73,235000
Abasto,3,67,240000
Abasto,4,73,235000
Abasto,4,102,255000
Abasto,4,73,210000
Abasto,3,67,259000
Abasto,3,56,179000
Abasto,3,58,185000
Abasto,4,78,164900
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,4,73,210000
Abasto,1,30,74900
Abasto,3,60,128500
Abasto,3,47,105000
Abasto,5,104,330000
Abasto,2,50,143000
Abasto,3,50,110000
Abasto,2,22,74999
Abasto,4,102,255000
Abasto,4,73,209000
Abasto,4,73,235000
Abasto,2,41,90000
Abasto,3,61,177000
Abasto,6,116,230000
Abasto,2,50,109000
Abasto,1,50,109000
Abasto,1,44,99000
Abasto,2,44,99000
Abasto,3,60,220000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,2,40,102000
Abasto,2,40,102000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,3,75,183000
Abasto,3,75,122000
Abasto,2,,89900
Abasto,3,,135000
Abasto,6,330,699000
Abasto,2,33,70000
Abasto,3,59,166000
Abasto,4,49,125000
Abasto,4,96,179000
Abasto,2,40,102000
Abasto,2,40,102000
Abasto,3,75,169000
Abasto,3,50,110000
Abasto,4,73,235000
Abasto,4,102,255000
Abasto,6,116,208000
Abasto,5,104,330000
Abasto,5,91,232000
Abasto,1,22,48000
Abasto,1,22,48000
Abasto,1,20,57000
Abasto,2,47,120000
Abasto,2,45,150000
Abasto,4,73,209000
Abasto,4,73,235000
Abasto,4,107,270000
Abasto,4,102,255000
Abasto,5,169,380000
Abasto,5,104,330000
Abasto,6,116,210000
Abasto,1,,95722
Abasto,1,,97254
Abasto,1,,100124
Abasto,1,,100144
Abasto,1,,100496
Abasto,1,,87444
Abasto,1,,92893
Abasto,1,,91478
Abasto,1,,88726
Abasto,1,,89085
Abasto,1,,86413
Abasto,1,,99033
Abasto,1,,99185
Abasto,1,,101646
Abasto,1,,100215
Abasto,1,,98656
Abasto,1,,107044
Abasto,1,,95858
Abasto,2,,143361
Abasto,2,,123598
Abasto,2,,131315
Abasto,2,,114212
Abasto,2,,147536
Abasto,2,,139185
Abasto,2,,135246
Abasto,2,,137097
Abasto,2,,129284
Abasto,2,,139438
Abasto,2,,131363
Abasto,2,,157165
Abasto,2,,135666
Abasto,2,,115951
Abasto,2,,130692
Abasto,2,,145449
Abasto,2,,127842
Abasto,3,,167625
Abasto,3,,170258
Abasto,3,,172891
Abasto,3,,211223
Abasto,3,,203775
Abasto,3,,178157
Abasto,3,,207268
Abasto,3,,175524
Abasto,3,,200891
Abasto,3,67,259000
Abasto,3,75,184000
Abasto,1,50,109000
Abasto,1,44,99000
Abasto,2,50,109000
Abasto,2,44,99000
Abasto,4,79,259000
Abasto,2,44,99000
Abasto,1,50,109000
Abasto,2,50,109000
Abasto,1,44,99000
Abasto,3,75,175000
Abasto,3,78,159000
Abasto,4,78,159000
Abasto,5,104,330000
Abasto,3,75,169000
Abasto,2,33,67000
Abasto,2,41,180000
Abasto,2,41,145000
Abasto,3,57,189000
Abasto,3,75,175000
Abasto,5,104,330000
Abasto,3,,185000
Abasto,4,,185000
Abasto,1,29,120000
Abasto,3,54,135000
Abasto,4,102,255000
Abasto,3,75,175000
Abasto,4,73,235000
Abasto,4,73,210000
Abasto,4,73,166000
Abasto,2,33,73000
Abasto,4,150,260000
Abasto,4,73,235000
Abasto,4,73,220000
Abasto,1,44,99000
Abasto,2,25,50000
Abasto,1,50,109000
Abasto,2,50,109000
Abasto,2,44,99000
Abasto,2,47,120000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,4,107,270000
Abasto,4,73,209000
Abasto,6,116,210000
Abasto,1,24,48000
Abasto,3,58,185000
Abasto,3,58,185000
Abasto,5,104,234000
Abasto,2,32,151800
Abasto,2,37,115000
Abasto,1,37,95500
Abasto,2,38,82000
Abasto,2,41,96000
Abasto,1,42,128000
Abasto,2,50,129000
Abasto,3,51,137000
Abasto,3,52,98000
Abasto,3,52,145000
Abasto,3,56,164600
Abasto,3,59,166000
Abasto,3,60,128500
Abasto,3,64,166700
Abasto,4,72,198000
Abasto,4,75,228000
Abasto,3,82,205000
Abasto,5,91,232000
Abasto,5,104,234000
Abasto,4,123,240000
Abasto,5,169,380000
Abasto,6,179,350000
Agronomía,3,70,165000
Agronomía,3,64,249000
Agronomía,2,44,128000
Agronomía,3,57,135000
Agronomía,1,25,69000
Agronomía,2,44,126000
Agronomía,2,45,149000
Agronomía,3,68,155000
Agronomía,3,125,260000
Agronomía,2,40,126000
Agronomía,2,40,124000
Agronomía,1,37,106000
Agronomía,2,44,128000
Agronomía,2,44,128000
Agronomía,4,70,178000
Agronomía,3,58,179000
Agronomía,3,57,125000
Agronomía,2,38,135000
Agronomía,2,42,115000
Agronomía,3,69,238000
Agronomía,4,106,330000
Agronomía,2,48,125000
Agronomía,4,,560000
Agronomía,2,40,89999
Agronomía,3,70,190000
Agronomía,3,52,130000
Agronomía,3,55,119999
Agronomía,5,,190000
Agronomía,4,98,325000
Agronomía,3,100,340000
Agronomía,2,33,80000
Agronomía,2,51,125466
Agronomía,2,51,124088
Agronomía,2,51,131789
Agronomía,2,51,132360
Agronomía,2,51,137875
Agronomía,2,51,143390
Agronomía,2,44,150000
Agronomía,3,80,215000
Agronomía,3,62,150000
Agronomía,1,30,82500
Agronomía,3,57,133000
Agronomía,4,106,340000
Agronomía,3,60,260000
Agronomía,3,73,109000
Agronomía,4,140,295000
Agronomía,4,100,245000
Agronomía,5,213,550000
Agronomía,4,1,220000
Agronomía,2,43,110000
Agronomía,3,60,115000
Agronomía,3,70,199000
Agronomía,1,25,73000
Agronomía,4,154,224000
Agronomía,3,42,138000
Agronomía,2,47,129000
Agronomía,2,35,114000
Agronomía,2,56,116000
Agronomía,3,43,175000
Agronomía,3,62,168000
Agronomía,4,95,255000
Agronomía,2,51,137875
Agronomía,2,51,124088
Agronomía,2,51,125466
Agronomía,2,51,131789
Agronomía,2,51,132360
Agronomía,2,51,143390
Agronomía,5,112,295000
Agronomía,5,244,475000
Agronomía,3,64,249000
Agronomía,4,142,249999
Agronomía,2,38,110000
Agronomía,2,47,139000
Agronomía,3,62,140000
Agronomía,2,,155000
Agronomía,4,106,330000
Agronomía,4,95,255000
Agronomía,4,200,445000
Agronomía,5,256,595000
Agronomía,3,62,144900
Agronomía,5,1978,450000
Agronomía,3,60,115000
Agronomía,3,62,140000
Agronomía,5,256,595000
Agronomía,4,106,340000
Agronomía,4,78,169000
Agronomía,4,150,375000
Agronomía,6,470,799000
Agronomía,3,38,120000
Agronomía,2,40,109999
Agronomía,3,62,164999
Agronomía,2,40,109999
Agronomía,3,62,164999
Agronomía,1,27,118000
Agronomía,2,41,98000
Agronomía,3,60,139000
Agronomía,1,31,82000
Agronomía,2,56,116000
Agronomía,2,47,129000
Agronomía,2,35,114000
Agronomía,3,43,175000
Agronomía,5,244,475000
Agronomía,1,32,94800
Agronomía,3,62,139000
Agronomía,3,85,200000
Agronomía,4,177,290000
Agronomía,4,98,325000
Agronomía,4,142,250000
Agronomía,5,112,295000
Agronomía,2,46,125000
Agronomía,1,31,82000
Agronomía,4,67,218500
Agronomía,2,50,120000
Agronomía,2,40,165000
Agronomía,6,,355000
Agronomía,4,100,185000
Agronomía,3,68,160000
Agronomía,2,56,116000
Agronomía,2,47,129000
Agronomía,2,35,114000
Agronomía,3,62,168000
Agronomía,3,43,175000
Agronomía,1,31,82000
Agronomía,1,25,73000
Agronomía,3,60,125000
Agronomía,2,38,100000
Agronomía,6,470,719000
Agronomía,2,44,114000
Agronomía,4,78,215000
Agronomía,4,98,325000
Agronomía,3,65,279000
Agronomía,3,65,259000
Agronomía,3,65,239000
Agronomía,2,,130000
Agronomía,1,,120000
Agronomía,2,,110000
Agronomía,3,127,250000
Agronomía,4,95,169000
Agronomía,1,37,94000
Agronomía,4,76,225000
Agronomía,1,22,69000
Agronomía,2,60,170000
Agronomía,3,96,310000
Agronomía,1,,145000
Agronomía,3,62,145000
Agronomía,4,180,260000
Agronomía,1,24,78000
Agronomía,2,36,68000
Agronomía,3,73,250000
Agronomía,6,470,719000
Agronomía,3,78,215000
Agronomía,4,100,185000
Agronomía,4,100,185000
Agronomía,1,23,75000
Agronomía,1,23,75000
Agronomía,1,31,82000
Agronomía,2,37,110000
Agronomía,2,38,110000
Agronomía,2,44,126000
Agronomía,3,60,139000
Agronomía,4,67,218500
Agronomía,4,72,175000
Agronomía,4,78,169000
Agronomía,3,80,215000
Agronomía,4,95,255000
Almagro,2,41,97000
Almagro,2,43,120000
Almagro,2,33,88000
Almagro,2,33,92000
Almagro,2,45,101000
Almagro,3,70,159500
Almagro,3,61,159000
Almagro,3,52,134000
Almagro,3,70,170000
Almagro,3,60,165000
Almagro,3,70,174600
Almagro,3,70,184000
Almagro,3,61,120000
Almagro,3,50,139000
Almagro,3,49,153000
Almagro,3,35,94000
Almagro,4,118,350000
Almagro,4,122,169000
Almagro,4,106,400000
Almagro,4,124,215000
Almagro,4,100,580000
Almagro,5,95,178000
Almagro,5,104,175000
Almagro,2,35,96500
Almagro,2,42,137000
Almagro,2,24,63000
Almagro,3,68,215000
Almagro,3,63,200000
Almagro,3,60,221900
Almagro,3,48,115000
Almagro,4,84,225000
Almagro,4,65,235000
Almagro,4,70,184000
Almagro,5,198,330000
Almagro,2,27,62000
Almagro,2,51,124000
Almagro,2,41,85000
Almagro,2,53,122000
Almagro,2,32,75000
Almagro,2,26,62500
Almagro,2,68,140000
Almagro,2,36,95000
Almagro,3,89,195000
Almagro,3,57,125000
Almagro,3,48,110000
Almagro,3,80,230000
Almagro,3,89,195000
Almagro,3,100,180000
Almagro,3,60,139000
Almagro,3,65,202375
Almagro,3,50,140000
Almagro,3,60,174900
Almagro,3,65,210000
Almagro,3,55,120000
Almagro,3,72,150000
Almagro,3,76,199500
Almagro,3,73,160000
Almagro,4,185,450000
Almagro,4,95,180000
Almagro,4,94,287000
Almagro,4,72,172500
Almagro,4,85,285000
Almagro,4,124,220000
Almagro,4,100,180000
Almagro,4,100,180000
Almagro,4,70,184000
Almagro,4,101,250000
